"Id","TemplateName","PushHeaderLength","PullHeaderLength","PushPayloadType","PullPayloadType","CreatedDate","MeterTemplateId","MeterProfileHeaderTemplateId","EventTemplateId","BillTemplateId","DailyTemplateId","BlockTemplateId","InstantTemplateId","MiscTemplateId","CreatedBy","IsFG23","EventNonProfileTemplateId","IsLocked","Detail"
"1","Single Phase 5 bytes header DLMS","5","5","1","1","15-05-2026 14:17:33","1","0","3","3","4","4","4","0","hes_system@kimbal.io","False","3","1",""
"2","Single Phase 10 bytes header NON DLMS","10","5","2","1","15-05-2026 14:17:33","2","0","3","3","4","4","4","0","hes_system@kimbal.io","False","3","1",""
"3","10 bytes header NON DLMS PULL & PUSH","10","10","2","2","15-05-2026 14:17:33","3","0","3","3","4","4","4","0","hes_system@kimbal.io","False","3","1",""
"4","Direct DLMS Pull and Push","0","0","3","3","15-05-2026 14:17:33","4","0","3","3","4","4","4","0","hes_system@kimbal.io","False","3","1",""
"5","TCP DLMS Pull and Push","0","0","4","4","15-05-2026 14:17:33","5","0","3","3","4","4","4","0","hes_system@kimbal.io","False","3","1",""
"6","3 Phase UMD meter","10","10","2","2","15-05-2026 14:17:33","6","0","3","3","4","4","4","0","hes_system@kimbal.io","False","3","1",""
"7","Schneider Single Phase","10","10","2","2","15-05-2026 14:17:33","7","0","3","3","4","4","4","0","hes_system@kimbal.io","False","3","1",""
"8","HPLDLMSPullPush","10","5","1","1","15-05-2026 14:17:33","8","0","3","3","4","4","4","0","hes_system@kimbal.io","False","3","1",""
"9","Crystal 3 phase","10","10","2","2","15-05-2026 14:17:33","9","0","3","3","4","4","4","0","hes_system@kimbal.io","False","3","1",""
"10","Crystal 3 phase UMD","10","10","2","2","15-05-2026 14:17:33","10","0","3","3","4","4","4","0","hes_system@kimbal.io","False","3","1",""
"11","F23 1P","10","10","2","2","15-05-2026 14:17:33","11","0","3","3","4","4","4","0","hes_system@kimbal.io","True","3","1",""
"12","SchneiderPurvanchal","10","10","2","2","15-05-2026 14:17:33","12","0","3","3","4","4","4","0","hes_system@kimbal.io","False","3","1",""
"13","SchneiderTechnoV2","10","10","2","2","15-05-2026 14:17:33","13","0","3","3","4","4","4","0","hes_system@kimbal.io","False","3","1",""
"14","IntelliGujarat","10","10","2","2","15-05-2026 14:17:33","14","0","3","3","4","4","4","0","hes_system@kimbal.io","True","3","1",""
"15","TataAnvil","10","10","2","2","15-05-2026 14:17:33","15","0","3","3","4","4","4","0","hes_system@kimbal.io","False","3","1",""
"16","TataAnvilFG23","10","10","2","2","15-05-2026 14:17:33","16","0","3","3","4","4","4","0","hes_system@kimbal.io","True","3","1",""
"17","WB 4G","0","0","3","3","15-05-2026 14:17:33","17","0","3","3","4","4","4","0","hes_system@kimbal.io","False","3","1",""
"18","NCC PKG 8 Kushal 4G","0","0","3","3","15-05-2026 14:17:33","18","0","3","3","4","4","4","0","hes_system@kimbal.io","False","3","1",""
"19","AIIB FG13","10","10","2","2","15-05-2026 14:17:33","19","0","3","3","4","4","4","0","hes_system@kimbal.io","False","3","1",""
"20","SecureTCP","0","0","4","4","15-05-2026 14:17:33","20","0","3","3","4","4","4","7","hes_system@kimbal.io","False","3","1",""
"21","HP SecureTCP","0","0","4","4","15-05-2026 14:17:33","21","0","3","3","4","4","4","0","hes_system@kimbal.io","False","3","1",""
"22","HP Kushal TCP","0","0","4","4","15-05-2026 14:17:33","22","0","3","3","4","4","4","0","hes_system@kimbal.io","False","3","1",""
"23","IntelliPkg7FG13","10","10","2","2","15-05-2026 14:17:33","23","0","7","3","4","4","4","0","akshita.gupta@kimbal.io","False","4","1",""
"24","IntelliPkg7FG23","10","10","2","2","15-05-2026 14:17:33","24","0","0","3","4","4","4","0","akshita.gupta@kimbal.io","True","3","1",""
"25","IntelliPkg7MQTT4G","0","0","3","3","15-05-2026 14:17:33","25","0","3","3","4","4","4","0","hes_system@kimbal.io","False","3","1","{""RFFirmwareVersion"":null,""MeterInternalFirmwareVersion"":null,""MeterFirmwareVersion"":null}"
"26","IntelliPkg7TCP4G","0","0","4","4","15-05-2026 14:17:33","26","0","5","3","4","4","4","0","akshita.gupta@kimbal.io","False","3","1",""
