"ProfileTemplateId","CommandTypeId","MeterCategory","ParameterName","TypeId","PayloadType","ProfileType","Profile","SerialNumber","Scalar","DataType","ProfileTemplateIdName","Details"
"0","0","","Old Header","1","2","","0","0","0","0","Old Header",""
"0","2","CT","SetLoadLimit","2","1","COMMAND_DLMS_PULL_CT","7","18","-3","Float32","MSEDCL",""
"0","3","1P","RtcDateTime","2","2","INSTANT_CUSTOM_PULL_1P","1","1","0","DateTime","MSEDCL",""
"0","3","1P","RtcDateTime","2","1","INSTANT_DLMS_PULL_1P","1","1","0","OctetString","MSEDCL",""
"0","3","1P","RtcDateTime","1","2","INSTANT_CUSTOM_PUSH_1P","1","1","0","DateTime","MSEDCL",""
"0","3","1P","RtcDateTime","1","1","INSTANT_DLMS_PUSH_1P","1","1","0","OctetString","MSEDCL",""
"0","3","1P","Voltage","2","1","INSTANT_DLMS_PULL_1P","1","2","0","Float32","MSEDCL",""
"0","3","1P","Voltage","2","2","INSTANT_CUSTOM_PULL_1P","1","2","-2","UInt16","MSEDCL",""
"0","3","1P","Voltage","1","1","INSTANT_DLMS_PUSH_1P","1","2","0","Float32","MSEDCL",""
"0","3","1P","Voltage","1","2","INSTANT_CUSTOM_PUSH_1P","1","2","-2","UInt16","MSEDCL",""
"0","3","1P","PhaseCurrent","2","1","INSTANT_DLMS_PULL_1P","1","3","0","Float32","MSEDCL",""
"0","3","1P","PhaseCurrent","2","2","INSTANT_CUSTOM_PULL_1P","1","3","-2","Int16","MSEDCL",""
"0","3","1P","PhaseCurrent","1","2","INSTANT_CUSTOM_PUSH_1P","1","3","-2","Int16","MSEDCL",""
"0","3","1P","PhaseCurrent","1","1","INSTANT_DLMS_PUSH_1P","1","3","0","Float32","MSEDCL",""
"0","3","1P","NeutralCurrent","2","1","INSTANT_DLMS_PULL_1P","1","4","0","Float32","MSEDCL",""
"0","3","1P","NeutralCurrent","1","2","INSTANT_CUSTOM_PUSH_1P","1","4","-2","Int16","MSEDCL",""
"0","3","1P","NeutralCurrent","2","2","INSTANT_CUSTOM_PULL_1P","1","4","-2","Int16","MSEDCL",""
