"Id","ProfileType","Category","Attribute","ObisCode","IsValidated","AttributeIndex"
"a875b866-ddeb-4393-bfe8-ccee84ac0abc","1","1P","ActivePowerKw","1.0.1.7.0.255","1","2"
"1cb6ee25-b8af-4f62-b905-d48c6540abf1","1","1P","Ambient temperature","0.0.96.9.0.255","0","2"
"6c37c28c-b0ac-4e39-a445-b158b2a1c95d","1","1P","ApparentPowerKva","1.0.9.7.0.255","1","2"
"cd30ab62-6c84-4259-a70c-e91d9f1c9e3d","1","1P","BatteryVoltage","0.0.96.6.3.255","0","2"
"46f9e307-3327-4fa6-bdac-4160886b0e95","1","1P","Cum. MD KVA Import","1.0.9.2.0.255","0","2"
"aad2d59a-746a-4a32-8af9-84e5be39d55e","1","1P","Cum. MD KW Import","1.0.1.2.0.255","0","2"
"7ee09896-da8a-414b-ae01-0f917efaca3b","1","1P","CumulativeBillingCount","0.0.0.1.0.255","1","2"
"1f5b44ca-ec15-4015-9928-52826571421c","1","1P","CumulativeEnergyKvah","1.0.9.8.0.255","1","2"
"40428f2f-4cba-4766-ba32-501fcdf84136","1","1P","CumulativeEnergyKvahExport","1.0.10.8.0.255","1","2"
"06dffc05-50da-4fec-9cd8-532b3668db3a","1","1P","CumulativeEnergyKvarhQ1","1.0.5.8.0.255","0","2"
"59516441-c179-43d7-aeaa-84244f2c0809","1","1P","CumulativeEnergyKvarhQ1-TZ1","1.0.5.8.1.255","0","2"
"b90c6d27-36ac-4722-a7b7-5c229a2ba050","1","1P","CumulativeEnergyKvarhQ2","1.0.6.8.0.255","0","2"
"4b0838d2-67ea-488f-9483-0729dc3e6f01","1","1P","CumulativeEnergyKvarhQ3","1.0.7.8.0.255","0","2"
"e4fe9714-187a-454b-9ab5-623f0cf5bec0","1","1P","CumulativeEnergyKvarhQ4","1.0.8.8.0.255","0","2"
"42fab385-d86f-4121-8db9-29562ad77f0a","1","1P","CumulativeEnergyKwh","1.0.1.8.0.255","1","2"
"4e2ad556-9b9f-4c75-9b8d-37f9b16a3dac","1","1P","CumulativeEnergyKwhExport","1.0.2.8.0.255","1","2"
"94187358-7869-42f1-81ab-39fafc9aeec2","1","1P","CumulativePowerOffDurationInMin","0.0.94.91.8.255","0","2"
"3dbdf962-7925-40b7-802c-b172afd8e381","1","1P","CumulativeProgrammingCount","0.0.96.2.0.255","1","2"
"b7a0abf4-89bc-43b3-9830-6a6cb78e66f3","1","1P","CumulativeTamperCount","0.0.94.91.0.255","1","2"
"2ab12894-728d-4ca5-93e9-0fd1dd972d70","1","1P","Current THD","1.0.128.128.124.255","0","2"
"63d77e34-42a1-4c24-b4ea-578dcf59310a","1","1P","Defraud Kwh","1.0.181.8.0.255","0","2"
"95fa3ca6-b785-49ce-83a8-cf02d0c56d12","1","1P","EnableLRSC","0.128.96.0.22.255","0","2"
"9b07872e-73e1-444c-af3b-39a5d6d6f665","1","1P","Frequency","1.0.14.7.0.255","1","2"
"12478145-2901-4b0a-a4e2-3e2d4fb534c6","1","1P","LoadLimitFunctionStatus","0.0.96.3.10.255","1","2"
"b6bf752a-1472-4e48-8c8c-5e915285c525","1","1P","LoadLimitValueKw","0.0.17.0.0.255","1","3"
"5b099cd6-9e2a-4a22-bf1d-174479040366","1","1P","MDKvaExport","1.0.10.6.0.255","0","2"
"2b742aa3-fd90-47a8-a17a-c28e1cb52012","1","1P","MDKvaExportDateTime","1.0.10.6.0.255","0","5"
"108ff1ca-c919-46f4-a1e4-e3f25ccab6dd","1","1P","MDKwExport","1.0.2.6.0.255","0","2"
"090f852d-9915-4cb3-bc58-629987c0ab16","1","1P","MDKwExportDateTime","1.0.2.6.0.255","0","5"
"8468af8e-6e31-4892-8d2f-90241e92b2ae","1","1P","MdVa","1.0.9.6.0.255","1","2"
"8d21f46e-72fc-486d-a7c7-dbcc75ff9413","1","1P","MdVaDatetime","1.0.9.6.0.255","1","5"
"d45c4537-5e63-493d-9063-4648218c6669","1","1P","Mdw","1.0.1.6.0.255","1","2"
"9442fcc9-34ae-46ef-bb03-1080f9c6f6ea","1","1P","MdwDateTime","1.0.1.6.0.255","1","5"
"c5e54813-7a50-4fc8-82e8-ac34a702710b","1","1P","NeutralCurrent","1.0.91.7.0.255","1","2"
"8e6059d2-ce7f-4727-a4df-b0c166cc34ac","1","1P","NICCellIdentifier","0.128.96.0.13.255","0","2"
"bd01047a-39e4-4739-af33-ff10d69b49da","1","1P","NICSignalPower","0.128.96.0.4.255","0","2"
"7a418456-36bc-4f6b-87df-73f727448676","1","1P","NICSNR","0.128.96.0.11.255","0","2"
"bb57cbdc-9d67-48b4-afb8-51c059177b0d","1","1P","NVMStatus","1.0.96.6.0.255","0",""
"23f88ac3-5799-4160-a809-0002caffc9d5","1","1P","PhaseCurrent","1.0.11.7.0.255","1","2"
"373c4b6e-fd96-406c-83b4-209935773fab","1","1P","PowerFailureInAllThreePhases","0.0.96.7.0.255","1","2"
"8db05e71-064d-47b7-bea8-3fbb5e5a8a27","1","1P","PrimaryBatteryStatus","1.0.96.7.0.255","0",""
"4ff8dda8-51d5-4c05-be0a-02e1cb5a8147","1","1P","RecentBillingDate","0.0.0.1.2.255","0","2"
"2232a36c-6f05-4371-b809-e2926fce3c62","1","1P","Relay Count","0.0.96.50.1.255","0","2"
"f9bf8a9f-d9c5-45f4-9b4b-4d27162e1062","1","1P","RSRP","0.1.96.12.6.255","0","2"
"203c5187-a857-4f57-b2d9-c23dd916fbfa","1","1P","RSRQ","0.1.96.12.7.255","0","2"
"f0dd53c1-0477-4aa2-84cb-1c13c700e590","1","1P","RSSI","0.1.96.12.5.255","0","2"
